2018-08-08 02:03:32 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2018-08-08 02:03:32 status half-configured dpkg 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg 1.18.4ubuntu1
2018-08-08 02:03:32 status half-installed dpkg 1.18.4ubuntu1
2018-08-08 02:03:32 status half-installed dpkg 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status unpacked dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status half-configured dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 status installed dpkg:amd64 1.18.4ubuntu1
2018-08-08 02:03:32 startup archives install
2018-08-08 02:03:32 install libc6:amd64 <none> 2.23-0ubuntu3
2018-08-08 02:03:32 status half-installed libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2018-08-08 02:03:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 status unpacked libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 status half-configured libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 status installed libc6:amd64 2.23-0ubuntu3
2018-08-08 02:03:33 startup archives install
2018-08-08 02:03:33 install perl-base:amd64 <none> 5.22.1-9
2018-08-08 02:03:33 status half-installed perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 status unpacked perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 status unpacked perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 configure perl-base:amd64 5.22.1-9 5.22.1-9
2018-08-08 02:03:34 status unpacked perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 status half-configured perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 status installed perl-base:amd64 5.22.1-9
2018-08-08 02:03:34 startup archives install
2018-08-08 02:03:34 install mawk:amd64 <none> 1.3.3-17ubuntu2
2018-08-08 02:03:34 status half-installed mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2018-08-08 02:03:34 status unpacked mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 status half-configured mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 status installed mawk:amd64 1.3.3-17ubuntu2
2018-08-08 02:03:34 startup archives unpack
2018-08-08 02:03:34 install adduser:all <none> 3.113+nmu3ubuntu4
2018-08-08 02:03:34 status half-installed adduser:all 3.113+nmu3ubuntu4
2018-08-08 02:03:34 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-08-08 02:03:34 status unpacked adduser:all 3.113+nmu3ubuntu4
2018-08-08 02:03:34 upgrade base-files:amd64 9.4ubuntu4 9.4ubuntu4
2018-08-08 02:03:34 status half-configured base-files:amd64 9.4ubuntu4
2018-08-08 02:03:34 status unpacked base-files:amd64 9.4ubuntu4
2018-08-08 02:03:34 status half-installed base-files:amd64 9.4ubuntu4
2018-08-08 02:03:34 status half-installed base-files:amd64 9.4ubuntu4
2018-08-08 02:03:34 status unpacked base-files:amd64 9.4ubuntu4
